Top 10 - Under 15 Male (1998-2015)			
Name	Age	Time	Year
Andris Goncarovs	13	17:26	2005
Brian Erickson	14	18:16	2000
Andris Goncarovs	12	18:36	2004
Jason Jenks	14	18:39	2011
Matt Hebeon	14	19:17	2000
Toby Dornton	14	19:25	1998
Jason Phillips	14	19:43	2004
Ethan Van Houten	14	19:49	2005
Andris Goncarous	11	19:55	2003
Matt Gill	14	20:15	2010
